iter	Passed	Remaining
413	3238	4583
414	3247	4577
415	3255	4569
416	3260	4557
417	3266	4548
418	3270	4535
419	3277	4526
420	3282	4514
421	3290	4506
422	3298	4499
423	3302	4486
424	3310	4478
425	3317	4470
426	3324	4461
427	3332	4453
428	3343	4450
429	3354	4447
430	3366	4444
431	3377	4440
432	3385	4432
433	3395	4427
434	3403	4420
435	3411	4412
436	3420	4406
437	3428	4398
438	3435	4390
439	3443	4382
440	3454	4378
441	3462	4371
442	3469	4362
443	3478	4356
444	3486	4348
445	3493	4339
446	3501	4331
447	3508	4323
448	3516	4315
449	3524	4308
450	3532	4300
451	3541	4293
452	3548	4284
453	3554	4275
454	3560	4264
455	3567	4256
456	3575	4248
457	3579	4235
458	3583	4223
459	3592	4216
460	3601	4210
461	3608	4201
462	3614	4191
463	3622	4184
464	3637	4184
465	3649	4182
466	3660	4177
467	3667	4169
468	3673	4158
469	3681	4151
470	3689	4144
471	3697	4135
472	3705	4128
473	3714	4122
474	3722	4113
475	3730	4106
476	3739	4099
477	3747	4092
478	3755	4085
479	3764	4078
480	3772	4070
481	3781	4063
482	3789	4056
483	3795	4046
484	3803	4039
485	3812	4031
486	3819	4023
487	3828	4016
488	3835	4008
489	3844	4001
490	3851	3992
491	3857	3983
492	3866	3975
493	3875	3969
494	3883	3961
495	3893	3956
496	3903	3951
497	3911	3943
498	3919	3934
499	3926	3926
500	3931	3915
501	3938	3907
502	3946	3899
503	3953	3891
504	3961	3883
505	3969	3875
506	3977	3868
507	3986	3861
508	3993	3852
509	4003	3846
510	4013	3840
511	4025	3836
512	4034	3830
513	4043	3823
514	4052	3816
515	4055	3804
516	4062	3795
517	4071	3788
518	4078	3779
519	4081	3767
520	4088	3758
521	4094	3749
522	4102	3741
523	4109	3733
524	4117	3725
525	4125	3717
526	4129	3706
527	4136	3698
528	4144	3690
529	4150	3680
530	4157	3672
531	4164	3663
532	4172	3655
533	4180	3647
534	4187	3639
535	4197	3633
536	4204	3625
537	4211	3616
538	4219	3608
539	4226	3600
540	4233	3592
541	4241	3583
542	4248	3576
543	4257	3568
544	4264	3560
545	4272	3552
546	4279	3544
547	4290	3539
548	4301	3533
549	4313	3528
550	4323	3523
551	4334	3517
552	4341	3509
553	4350	3502
554	4358	3494
555	4362	3483
556	4370	3475
557	4379	3469
558	4388	3461
559	4396	3454
560	4403	3445
561	4408	3435
562	4415	3427
563	4422	3419
564	4429	3410
565	4436	3402
566	4444	3393
567	4452	3386
568	4460	3378
569	4467	3370
570	4475	3362
571	4485	3355
572	4498	3352
573	4509	3346
574	4520	3341
575	4529	3334
576	4535	3325
577	4543	3316
578	4550	3308
579	4558	3300
580	4566	3292
581	4574	3285
582	4581	3277
583	4589	3269
584	4597	3261
585	4604	3253
586	4611	3244
587	4618	3236
588	4625	3227
589	4633	3219
590	4640	3211
591	4647	3203
592	4654	3194
593	4662	3186
594	4667	3177
595	4674	3168
596	4682	3160
597	4690	3153
598	4698	3145
599	4706	3137
600	4713	3129
601	4722	3122
602	4733	3116
603	4743	3109
604	4754	3104
605	4762	3096
606	4770	3088
607	4778	3080
608	4785	3072
609	4793	3064
610	4801	3056
611	4808	3048
612	4818	3041
613	4827	3034
614	4835	3027
615	4844	3020
616	4853	3012
617	4861	3004
618	4870	2997
619	4878	2989
620	4885	2981
621	4893	2973
622	4903	2967
623	4910	2958
624	4918	2950
625	4926	2943
626	4933	2934
627	4940	2926
628	4949	2919
629	4961	2913
630	4977	2910
631	4988	2904
632	4999	2898
633	5007	2890
634	5014	2882
635	5020	2873
636	5028	2865
637	5035	2857
638	5042	2848
639	5050	2840
640	5053	2830
641	5061	2822
642	5067	2813
643	5074	2804
644	5082	2797
645	5087	2788
646	5094	2779
647	5103	2772
648	5111	2764
649	5115	2754
650	5123	2746
651	5130	2738
652	5138	2730
653	5145	2722
654	5152	2713
655	5160	2706
656	5167	2697
657	5174	2689
658	5179	2680
659	5185	2671
660	5193	2663
661	5202	2656
662	5212	2649
663	5221	2642
664	5233	2636
665	5240	2628
666	5248	2620
667	5255	2612
668	5263	2604
669	5271	2596
670	5278	2588
671	5285	2579
672	5294	2572
673	5301	2564
674	5309	2556
675	5316	2548
